N.row,expr,time
10000,data.table::melt,11915120
10000,tidyr::pivot_longer,18596440
10000,tidyr::pivot_longer,33719000
10000,data.table::melt,11307440
10000,stats::reshape,52721920
10000,data.table::melt,11973880
10000,tidyr::pivot_longer,16324120
10000,tidyr::pivot_longer,17480280
10000,nc::capture_melt_multiple,16191440
10000,tidyr::pivot_longer,16277400
10000,stats::reshape,48877320
10000,data.table::melt,12357760
10000,stats::reshape,61258000
10000,stats::reshape,49976600
10000,cdata::rowrecs_to_blocks,82619880
10000,tidyr::pivot_longer,16830600
10000,nc::capture_melt_multiple,16368240
10000,cdata::rowrecs_to_blocks,95491680
10000,nc::capture_melt_multiple,16294040
10000,cdata::rowrecs_to_blocks,84113600
10000,nc::capture_melt_multiple,16210880
10000,nc::capture_melt_multiple,16157000
10000,tidyr::pivot_longer,16924480
10000,nc::capture_melt_multiple,27147360
10000,cdata::rowrecs_to_blocks,82915800
10000,data.table::melt,11064040
10000,stats::reshape,58366680
10000,data.table::melt,11757640
10000,cdata::rowrecs_to_blocks,109793960
10000,nc::capture_melt_multiple,16622040
10000,nc::capture_melt_multiple,17444320
10000,tidyr::pivot_longer,16447040
10000,data.table::melt,11303960
10000,data.table::melt,11034520
10000,tidyr::pivot_longer,16361840
10000,cdata::rowrecs_to_blocks,85825840
10000,stats::reshape,52451560
10000,data.table::melt,12113120
10000,cdata::rowrecs_to_blocks,101207800
10000,nc::capture_melt_multiple,16882680
10000,tidyr::pivot_longer,16215440
10000,stats::reshape,52199560
10000,nc::capture_melt_multiple,17153920
10000,stats::reshape,62533640
31622,tidyr::pivot_longer,29141960
31622,stats::reshape,205277520
31622,cdata::rowrecs_to_blocks,261317520
31622,cdata::rowrecs_to_blocks,253957240
31622,data.table::melt,175971720
31622,tidyr::pivot_longer,29504920
31622,nc::capture_melt_multiple,19136160
31622,nc::capture_melt_multiple,21032160
31622,data.table::melt,16623120
31622,data.table::melt,15979760
31622,stats::reshape,195841880
31622,cdata::rowrecs_to_blocks,299237120
31622,tidyr::pivot_longer,174931480
31622,stats::reshape,181570800
31622,nc::capture_melt_multiple,21391920
31622,cdata::rowrecs_to_blocks,272052200
31622,nc::capture_melt_multiple,20087280
31622,cdata::rowrecs_to_blocks,293676520
31622,stats::reshape,213669360
31622,stats::reshape,376997960
31622,data.table::melt,14200880
31622,tidyr::pivot_longer,29918000
31622,data.table::melt,13984840
31622,stats::reshape,186235000
31622,nc::capture_melt_multiple,20880440
31622,stats::reshape,198306160
31622,tidyr::pivot_longer,30410600
31622,data.table::melt,32107640
31622,nc::capture_melt_multiple,19474400
31622,data.table::melt,14206240
31622,data.table::melt,14377840
31622,stats::reshape,344023240
31622,nc::capture_melt_multiple,20491040
31622,stats::reshape,157841840
31622,tidyr::pivot_longer,29624640
31622,cdata::rowrecs_to_blocks,252933120
31622,tidyr::pivot_longer,28721960
31622,tidyr::pivot_longer,48482640
31622,data.table::melt,14165120
31622,cdata::rowrecs_to_blocks,254582520
31622,cdata::rowrecs_to_blocks,232786880
31622,cdata::rowrecs_to_blocks,248312640
31622,nc::capture_melt_multiple,19330480
31622,cdata::rowrecs_to_blocks,259693560
31622,tidyr::pivot_longer,48417640
31622,tidyr::pivot_longer,48515520
31622,data.table::melt,14305120
31622,stats::reshape,317374120
31622,nc::capture_melt_multiple,19102800
31622,nc::capture_melt_multiple,20295080
100000,data.table::melt,24254480
100000,stats::reshape,783037280
100000,nc::capture_melt_multiple,195917200
100000,cdata::rowrecs_to_blocks,944074400
100000,cdata::rowrecs_to_blocks,826664440
100000,tidyr::pivot_longer,244588080
100000,data.table::melt,27309320
100000,data.table::melt,30938280
100000,stats::reshape,842313080
100000,tidyr::pivot_longer,267374400
100000,tidyr::pivot_longer,72021520
100000,stats::reshape,703643680
100000,data.table::melt,28710520
100000,data.table::melt,49620720
100000,stats::reshape,790664960
100000,stats::reshape,630759360
100000,cdata::rowrecs_to_blocks,780656480
100000,stats::reshape,708145520
100000,tidyr::pivot_longer,71898840
100000,stats::reshape,864513960
100000,stats::reshape,665397040
100000,cdata::rowrecs_to_blocks,735198640
100000,stats::reshape,863126800
100000,stats::reshape,605122280
100000,tidyr::pivot_longer,71120720
100000,nc::capture_melt_multiple,64232040
100000,data.table::melt,24527720
100000,cdata::rowrecs_to_blocks,837540360
100000,data.table::melt,24811480
100000,cdata::rowrecs_to_blocks,969107120
100000,data.table::melt,23487600
100000,cdata::rowrecs_to_blocks,752483280
100000,nc::capture_melt_multiple,30067680
100000,nc::capture_melt_multiple,77764120
100000,tidyr::pivot_longer,167174360
100000,data.table::melt,24387160
100000,tidyr::pivot_longer,103859560
100000,tidyr::pivot_longer,291667840
100000,nc::capture_melt_multiple,29056000
100000,nc::capture_melt_multiple,29279480
100000,tidyr::pivot_longer,71776400
100000,nc::capture_melt_multiple,41362400
100000,nc::capture_melt_multiple,28976520
100000,cdata::rowrecs_to_blocks,933134560
100000,nc::capture_melt_multiple,30364400
100000,nc::capture_melt_multiple,33473080
100000,cdata::rowrecs_to_blocks,782692040
100000,data.table::melt,223062920
100000,cdata::rowrecs_to_blocks,699977080
100000,tidyr::pivot_longer,115834000
316227,data.table::melt,50779440
316227,tidyr::pivot_longer,234974880
316227,tidyr::pivot_longer,234078760
316227,cdata::rowrecs_to_blocks,2785908800
316227,cdata::rowrecs_to_blocks,2613787160
316227,data.table::melt,78914600
316227,cdata::rowrecs_to_blocks,2828751880
316227,data.table::melt,177745400
316227,nc::capture_melt_multiple,55631360
316227,tidyr::pivot_longer,590510680
316227,stats::reshape,3098210880
316227,tidyr::pivot_longer,380197120
316227,stats::reshape,2355804320
316227,data.table::melt,50137000
316227,tidyr::pivot_longer,220175720
316227,data.table::melt,79251040
316227,nc::capture_melt_multiple,83856960
316227,cdata::rowrecs_to_blocks,2790907560
316227,cdata::rowrecs_to_blocks,2207654800
316227,data.table::melt,50858120
316227,cdata::rowrecs_to_blocks,2326537360
316227,nc::capture_melt_multiple,207241720
316227,data.table::melt,61579960
316227,nc::capture_melt_multiple,276793480
316227,nc::capture_melt_multiple,55260560
316227,nc::capture_melt_multiple,55119920
316227,nc::capture_melt_multiple,117759360
316227,stats::reshape,2752796560
316227,stats::reshape,1824002840
316227,tidyr::pivot_longer,420327040
316227,tidyr::pivot_longer,271337120
316227,tidyr::pivot_longer,635540000
316227,stats::reshape,1939260600
316227,tidyr::pivot_longer,441091040
316227,stats::reshape,2403726000
316227,cdata::rowrecs_to_blocks,2492587520
316227,tidyr::pivot_longer,401357600
316227,nc::capture_melt_multiple,546033200
316227,data.table::melt,51891080
316227,stats::reshape,1845247400
316227,cdata::rowrecs_to_blocks,2395215400
