capture groups,type conversions,N.rep,N.col,expr,time
3,0,10,45,stats::reshape,5316659
3,0,10,45,stats::reshape,5377290
3,0,10,45,stats::reshape,5504970
3,0,10,45,cdata::rowrecs_to_blocks,13110873
3,0,10,45,cdata::rowrecs_to_blocks,13229891
3,0,10,45,cdata::rowrecs_to_blocks,15793422
3,0,10,45,cdata::rowrecs_to_blocks,13304637
3,0,10,45,cdata::rowrecs_to_blocks,12493328
3,0,10,45,cdata::rowrecs_to_blocks,12275824
3,0,10,45,cdata::rowrecs_to_blocks,12331965
3,0,10,45,cdata::rowrecs_to_blocks,12520918
3,0,10,45,cdata::rowrecs_to_blocks,12587644
3,0,10,45,cdata::rowrecs_to_blocks,12379123
3,0,31,129,nc::capture_melt_multiple,12405429
3,0,31,129,nc::capture_melt_multiple,11064475
3,0,31,129,nc::capture_melt_multiple,10863973
3,0,31,129,nc::capture_melt_multiple,10813928
3,0,31,129,nc::capture_melt_multiple,11209157
3,0,31,129,nc::capture_melt_multiple,12157127
3,0,31,129,nc::capture_melt_multiple,10762599
3,0,31,129,nc::capture_melt_multiple,11153657
3,0,31,129,nc::capture_melt_multiple,11241878
3,0,31,129,nc::capture_melt_multiple,10897016
3,0,31,129,tidyr::pivot_longer,4765840
3,0,31,129,tidyr::pivot_longer,4786372
3,0,31,129,tidyr::pivot_longer,4534543
3,0,31,129,tidyr::pivot_longer,4378953
3,0,31,129,tidyr::pivot_longer,4651635
3,0,31,129,tidyr::pivot_longer,7100641
3,0,31,129,tidyr::pivot_longer,4297470
3,0,31,129,tidyr::pivot_longer,4616347
3,0,31,129,tidyr::pivot_longer,4307093
3,0,31,129,tidyr::pivot_longer,4244537
3,0,31,129,data.table::melt,2144244
3,0,31,129,data.table::melt,1974540
3,0,31,129,data.table::melt,1893698
3,0,31,129,data.table::melt,1899472
3,0,31,129,data.table::melt,1935401
3,0,31,129,data.table::melt,1922569
3,0,31,129,data.table::melt,1929306
3,0,31,129,data.table::melt,2095161
3,0,31,129,data.table::melt,2027151
3,0,31,129,data.table::melt,1957216
3,0,31,129,stats::reshape,15288800
